Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00421"
"0.10000","0.04527","0.03138"
"0.20000","0.15518","0.00693"
"0.30000","0.25586","0.00673"
"0.40000","0.35553","0.00356"
"0.50000","0.45587","0.00573"
"0.60000","0.55604","0.00107"
"0.70000","0.65565","0.00596"
"0.80000","0.75606","0.00733"
"0.90000","0.85657","-0.00151"
"1.00000","0.95549","0.00868"
"1.10000","1.05572","0.00800"
"1.20000","1.15628","0.00347"
"1.30000","1.25590","0.00516"
"1.40000","1.35574","0.00291"
"1.50000","1.45635","-0.00016"
"1.60000","1.55602","0.00724"
"1.70000","1.65577","0.00177"
"1.80000","1.75593","0.00492"
"1.90000","1.85611","0.00241"
"2.00000","1.95605","0.00346"
"2.10000","2.05590","0.00459"
"2.20000","2.15660","0.00087"
"2.30000","2.25537","0.00501"
"2.40000","2.35544","0.00962"
"2.50000","2.45648","0.00346"
"2.60000","2.55580","0.00796"
"2.70000","2.65591","0.00247"
"2.80000","2.75625","0.00745"
"2.90000","2.85559","0.01018"
"3.00000","2.95566","0.00749"
"3.10000","3.05593","0.00942"
"3.20000","3.15611","0.00774"
"3.30000","3.25608","0.00490"
"3.40000","3.35588","0.00597"
"3.50000","3.45635","-0.00187"
"3.60000","3.55539","0.00366"
"3.70000","3.65563","0.00852"
"3.80000","3.75649","0.00321"
"3.90000","3.85584","0.00479"
"4.00000","3.95574","-0.00208"
"4.10000","4.05616","0.01026"
"4.20000","4.15594","0.00857"
"4.30000","4.25559","0.00287"
"4.40000","4.35602","0.00468"
"4.50000","4.45624","0.00305"
"4.60000","4.55590","0.00283"
"4.70000","4.65590","0.00701"
"4.80000","4.75616","0.00209"
"4.90000","4.85538","0.16614"
"5.00000","4.95569","0.24865"
"5.10000","5.05638","0.40898"
"5.20000","5.15577","0.61447"
"5.30000","5.25587","0.78270"
"5.40000","5.35588","0.95087"
"5.50000","5.45586","1.08232"
"5.60000","5.55553","1.06028"
"5.70000","5.65579","1.16328"
"5.80000","5.75638","1.25266"
"5.90000","5.85591","1.38963"
"6.00000","5.95583","1.51637"
"6.10000","6.05633","1.60013"
"6.20000","6.15532","1.54889"
"6.30000","6.25588","1.70666"
"6.40000","6.35634","1.81780"
"6.50000","6.45587","1.87663"
"6.60000","6.55586","1.85605"
"6.70000","6.65617","1.99759"
"6.80000","6.75577","2.07795"
"6.90000","6.85563","2.17763"
"7.00000","6.95606","2.41395"
"7.10000","7.05642","2.89651"
"7.20000","7.15593","3.28405"
"7.30000","7.25576","3.45582"
"7.40000","7.35628","3.89575"
"7.50000","7.45547","4.22971"
"7.60000","7.55573","4.69124"
"7.70000","7.65634","4.09752"
"7.80000","7.75580","4.84836"
"7.90000","7.85554","5.33763"
"8.00000","7.95618","5.46254"
"8.10000","8.05588","5.84743"
"8.20000","8.15530","5.31370"
"8.30000","8.25626","5.67520"
"8.40000","8.35639","5.64643"
"8.50000","8.45586","5.73813"
"8.60000","8.55579","5.91925"
"8.70000","8.65618","6.61917"
"8.80000","8.75555","7.20673"
"8.90000","8.85590","7.29930"
"9.00000","8.95634","7.66500"
"9.10000","9.05587","8.22082"
"9.20000","9.15576","8.67255"
"9.30000","9.25598","9.11862"
"9.40000","9.35581","9.56379"
"9.50000","9.45571","10.17263"
"9.60000","9.55605","10.48103"
"9.70000","9.65652","10.26081"
"9.80000","9.75570","10.23660"
"9.90000","9.85558","11.07328"
"10.00000","9.95617","11.39960"
"10.10000","10.05563","11.82859"
"10.20000","10.15587","12.41024"
"10.30000","10.25648","12.13599"
"10.40000","10.35557","12.93614"
"10.50000","10.45566","13.54655"
"10.60000","10.55608","14.63592"
"10.70000","10.65578","14.96042"
"10.80000","10.75592","14.89518"
"10.90000","10.85615","15.09423"
"11.00000","10.95633","14.14194"
"11.10000","11.05593","14.05969"
"11.20000","11.15538","14.95649"
"11.30000","11.25661","15.76118"
"11.40000","11.35550","16.20028"
"11.50000","11.45590","16.66271"
"11.60000","11.55648","16.88602"
"11.69900","11.65482","18.14445"
"11.79900","11.75476","18.76641"
"11.89900","11.85511","18.60038"
"11.99900","11.95500","18.51569"
"12.09900","12.05475","18.74931"
"12.19900","12.15501","19.32150"
"12.29900","12.25530","18.35486"
"12.39900","12.35477","18.40205"
"12.49900","12.45478","18.58768"
"12.59900","12.55536","18.54945"
"12.69900","12.65460","19.18490"
"12.79900","12.75484","19.53261"
"12.89900","12.85526","20.75212"
"12.99900","12.95465","21.02216"
"13.09900","13.05470","21.49099"
"13.19900","13.15483","21.88319"
"13.29900","13.25526","22.47664"
"13.39900","13.35468","22.67753"
"13.49900","13.45493","22.51175"
"13.59900","13.55533","21.95141"
"13.69900","13.65468","21.80785"
"13.79900","13.75486","20.59405"
"13.89900","13.85539","20.60472"
"13.99900","13.95441","21.26068"
"14.09900","14.05500","21.84448"
"14.19900","14.15533","22.42468"
"14.29900","14.25468","23.21473"
"14.39900","14.35474","23.31238"
"14.49900","14.45499","23.97707"
"14.59900","14.55516","24.52816"
"14.69900","14.65476","24.36011"
"14.79900","14.75488","25.02998"
"14.89900","14.85530","25.80484"
"14.99900","14.95483","25.87393"
"15.09900","15.05471","26.49755"
"15.19900","15.15552","27.50273"
"15.29600","15.25147","28.76149"
"15.39600","15.35176","29.37387"
"15.49600","15.45218","28.96086"
"15.59600","15.55179","29.12657"
"15.69600","15.65152","29.20657"
"15.79600","15.75198","29.55229"
"15.89600","15.85212","29.60806"
"15.99600","15.95161","29.69334"
"16.09600","16.05183","29.64984"
"16.19600","16.15199","30.08223"
"16.29600","16.25212","29.83454"
"16.39600","16.35182","29.88197"
"16.49600","16.45235","28.77621"
"16.59600","16.55157","29.42994"
"16.69600","16.65182","29.82368"
"16.79600","16.75230","29.95295"
"16.89600","16.85181","31.03571"
"16.99600","16.95175","31.33999"
"17.09600","17.05219","32.33258"
"17.19600","17.15236","32.54530"
"17.29600","17.25156","32.94847"
"17.39600","17.35189","32.56384"
"17.49600","17.45224","32.41652"
"17.59200","17.54791","33.67358"
"17.67300","17.62885","34.93240"
"17.77300","17.72921","36.07827"
"17.86900","17.82450","37.33731"
"17.96900","17.92482","38.06950"
"18.06900","18.02528","38.47079"
"18.10300","18.05931","37.21820"
"18.20300","18.15855","37.38675"
"18.30300","18.25883","37.21333"
"18.40300","18.35915","37.61256"
"18.50300","18.45907","38.22470"
"18.60300","18.55847","38.01285"
"18.70300","18.65878","37.80001"
"18.80300","18.75929","38.10840"
